"p_x";"p_y";"p_z";"v_x";"v_y";"v_z";"q_x";"q_y";"q_z";"q_w"
0.182523;-0.224765;0.16161;0.0908937;0.0183399;-0.0314395;-0.0780383;-0.0478602;0.109791;0.98973
0.202514;-0.221723;0.148134;0.0437225;0.0128104;-0.0834836;-0.0645006;-0.0505829;0.129627;0.988169
0.212308;-0.220501;0.123568;0.0345581;0.0167678;-0.0932379;-0.0386843;-0.0490176;0.140429;0.98812
0.225077;-0.21244;0.0911764;0.0465233;0.03537;-0.14782;-0.0110227;-0.0544812;0.15128;0.986927
0.249129;-0.200706;0.0547943;0.104971;0.0471779;-0.144325;0.0229164;-0.0620403;0.17018;0.983191
0.272933;-0.190299;0.0240026;0.0912928;0.0474454;-0.119645;0.0521881;-0.0680556;0.190806;0.977874
0.285425;-0.185999;-0.00811245;0.00503652;0.00955602;-0.1234;0.0809915;-0.0694851;0.201609;0.973635
0.278981;-0.181862;-0.0406231;-0.0296453;0.0293512;-0.134239;0.107267;-0.0682434;0.208101;0.96981
0.273404;-0.173622;-0.0746999;-0.011351;0.0440936;-0.134635;0.133971;-0.0645651;0.20607;0.96717
0.274425;-0.161343;-0.111197;0.00720998;0.0522778;-0.137149;0.165683;-0.0588042;0.203843;0.963089
0.270387;-0.148912;-0.138961;-0.0358607;0.0403685;-0.0933353;0.195622;-0.051064;0.20195;0.958301
0.258293;-0.139968;-0.157948;-0.051705;0.0347124;-0.0683771;0.216956;-0.0501502;0.195592;0.95507
0.243342;-0.133823;-0.174437;-0.0799149;0.0154335;-0.0609746;0.232665;-0.0463569;0.181651;0.954317
0.216581;-0.123835;-0.191143;-0.133378;0.0437649;-0.0661387;0.252704;-0.0450868;0.166352;0.952069
0.172834;-0.11434;-0.200864;-0.215925;0.0252981;-0.00493544;0.260901;-0.0423685;0.135773;0.954831
0.116311;-0.101942;-0.201167;-0.229799;0.0612833;-0.0171386;0.266414;-0.0399866;0.0946309;0.958368
0.0630631;-0.0878435;-0.206382;-0.202834;0.052399;-0.0321075;0.278741;-0.0460527;0.0564922;0.957597
0.0189959;-0.0789113;-0.211038;-0.175446;0.0389963;-0.0236028;0.289885;-0.0453762;0.0243946;0.955674
-0.0259995;-0.069497;-0.21654;-0.177956;0.0319058;-0.0315273;0.297355;-0.0419279;-0.00939183;0.9538
-0.0654126;-0.0621846;-0.227406;-0.148414;0.024257;-0.0403755;0.310756;-0.0370674;-0.0397161;0.948936
-0.102848;-0.053299;-0.239692;-0.145307;0.0487347;-0.0405993;0.319227;-0.0376146;-0.0705993;0.944296
-0.137774;-0.040842;-0.242137;-0.13418;0.032609;0.0119479;0.321333;-0.0335349;-0.103573;0.940688
-0.173007;-0.0332217;-0.237601;-0.144256;0.0316091;0.0237108;0.316182;-0.0247824;-0.135955;0.938579
-0.20808;-0.0286148;-0.230284;-0.148859;0.0150841;0.0398392;0.306717;-0.0200674;-0.16674;0.936867
-0.243214;-0.0259213;-0.21297;-0.141238;0.018309;0.0866613;0.289626;-0.00858827;-0.201806;0.935584
-0.27769;-0.0226155;-0.187618;-0.10931;0.00907892;0.104904;0.265899;0.00205383;-0.235751;0.934727
-0.296419;-0.0211605;-0.159732;-0.0613941;-0.00363209;0.113141;0.242331;0.00950444;-0.261346;0.934282
-0.307424;-0.0205401;-0.13242;-0.0247377;-0.00731056;0.117271;0.218149;0.010651;-0.274284;0.936518
-0.312421;-0.0268653;-0.100921;-0.0277522;-0.0355626;0.132491;0.185371;0.0139427;-0.27988;0.941865
-0.32215;-0.0328243;-0.0658335;-0.0601626;-0.00711771;0.152558;0.151165;0.0223718;-0.289146;0.94501
-0.340448;-0.0320961;-0.0305935;-0.0702274;0.0148882;0.127689;0.121112;0.035031;-0.297826;0.946258
-0.353111;-0.0324538;0.00347723;-0.0324264;-0.0186058;0.145153;0.0926884;0.0452443;-0.306544;0.946252
-0.35393;-0.0400429;0.0398073;0.0195242;-0.0456829;0.140225;0.0616028;0.0511009;-0.307873;0.948055
-0.343383;-0.052842;0.0746307;0.0561427;-0.0436687;0.138838;0.0316383;0.0512956;-0.303143;0.951037
-0.329219;-0.0624217;0.109361;0.0613386;-0.0341832;0.131021;0.00207454;0.0580722;-0.295848;0.953466
-0.315615;-0.0701184;0.143329;0.0467318;-0.0326732;0.108915;-0.021447;0.0642334;-0.288607;0.95505
-0.303081;-0.0830453;0.166633;0.0530152;-0.0703937;0.0902572;-0.0374341;0.068695;-0.280304;0.956718
-0.287146;-0.0994504;0.179732;0.0806022;-0.0790677;0.0591544;-0.0528551;0.0647896;-0.270604;0.959053
-0.257287;-0.125375;0.191869;0.140676;-0.105833;0.0554137;-0.0725075;0.0610411;-0.249911;0.963619
-0.217006;-0.150574;0.198595;0.173259;-0.0989679;-0.0238225;-0.084705;0.0577623;-0.219073;0.970307
-0.179105;-0.177368;0.186273;0.159362;-0.117791;-0.0671744;-0.0732104;0.0430604;-0.179638;0.980059
-0.142126;-0.2062;0.167352;0.131432;-0.0891639;-0.0530579;-0.0629046;0.0308142;-0.147941;0.986512
-0.106837;-0.224254;0.163079;0.1771;-0.0417869;0.00216207;-0.0563995;0.0263894;-0.118439;0.991007
-0.0599836;-0.224905;0.165964;0.182459;0.0155503;0.0194695;-0.0537319;0.0199306;-0.089469;0.994339
-0.0111589;-0.221552;0.174502;0.173669;-0.00840401;0.0559984;-0.0483283;0.0144618;-0.0637267;0.996692
0.0255505;-0.226153;0.196662;0.127168;-0.0244735;0.0987986;-0.0604999;0.0234526;-0.042683;0.996979
0.0588395;-0.231626;0.222604;0.130293;-0.0161958;0.0842027;-0.0788356;0.0253236;-0.0225312;0.996311
0.0880998;-0.232828;0.241631;0.111175;-0.00131818;0.0791723;-0.0910454;0.017707;-0.00579656;0.995672
0.117394;-0.233334;0.255416;0.120004;0.00426344;0.0415224;-0.103149;0.0148049;0.0108705;0.994496
0.142076;-0.233579;0.255958;0.0959253;-0.00711164;-0.0195077;-0.102881;0.00593651;0.0297389;0.994231
0.166469;-0.236992;0.246865;0.105257;-0.0113131;-0.0657148;-0.0965623;-0.00347505;0.0450548;0.994301
0.192094;-0.239303;0.225573;0.0609343;0.00857223;-0.101111;-0.0755921;-0.00349394;0.0589273;0.99539
0.205681;-0.232528;0.203687;0.0689713;0.033366;-0.112874;-0.0559907;-0.00398536;0.0762599;0.995507
0.2285;-0.224583;0.17334;0.0856956;0.0325703;-0.138947;-0.026587;-0.0110012;0.100711;0.9945
0.245804;-0.216983;0.137911;0.0521254;0.0413069;-0.15349;0.00426589;-0.0125826;0.116521;0.993099
0.259274;-0.205761;0.100698;0.0531401;0.0525893;-0.129253;0.0398614;-0.0112278;0.129421;0.990725
0.270518;-0.193301;0.0693063;0.0601452;0.0467184;-0.112314;0.0685546;-0.0131189;0.13991;0.987701
0.285911;-0.183407;0.0405621;0.0791098;0.0411035;-0.106083;0.0921532;-0.0232781;0.156009;0.983172
0.300349;-0.175301;0.0144287;0.0549809;0.0399514;-0.122344;0.114754;-0.0291133;0.171113;0.978113
0.2975;-0.160727;-0.0214643;-0.0484447;0.0543873;-0.143996;0.141351;-0.0248213;0.175021;0.974049
0.274571;-0.153708;-0.049677;-0.105354;0.0217727;-0.0823615;0.165583;-0.0251261;0.167653;0.971516
0.237653;-0.157415;-0.0589914;-0.190572;-0.0303478;-0.0186044;0.16974;-0.0224965;0.144523;0.974574
0.190805;-0.162295;-0.0617852;-0.192444;-0.017703;0.0126492;0.168634;-0.0174974;0.117982;0.978436
0.141231;-0.16476;-0.0537735;-0.211314;-0.00283013;0.0619673;0.159342;-0.0174588;0.0805168;0.98378
0.0892975;-0.165267;-0.0308996;-0.203973;-0.0043106;0.121531;0.136162;-0.0120869;0.0431258;0.989674
0.0425913;-0.158658;0.00253454;-0.1718;0.0503478;0.115286;0.108513;-0.00933171;0.00830793;0.994017
-0.00155043;-0.142259;0.0220318;-0.160637;0.068952;0.0340201;0.0933105;-0.00576046;-0.0349621;0.995006
-0.0365271;-0.126928;0.0276044;-0.12362;0.0444438;0.01893;0.0891257;-0.00228331;-0.0909002;0.991861
-0.0629546;-0.118799;0.0324874;-0.108246;0.0245287;0.0163109;0.0904084;-0.0015193;-0.151159;0.984365
-0.0920393;-0.110387;0.0332082;-0.121675;0.0504763;-0.00119492;0.0872314;-0.00691877;-0.203669;0.975121
-0.123036;-0.0954532;0.0326241;-0.116201;0.0644155;0.00874786;0.0917129;-0.00333349;-0.255007;0.962574
-0.142835;-0.0811123;0.0374776;-0.0345169;0.0585765;0.0240136;0.0880129;0.00899915;-0.311657;0.946067
-0.143457;-0.0680467;0.0418741;0.0149132;0.052334;0.0126257;0.0863527;0.0135006;-0.367617;0.925861
-0.13874;-0.0559876;0.0479517;0.0134;0.0317256;0.0157658;0.0847351;0.0137981;-0.406821;0.909465
-0.139346;-0.0508508;0.0473944;0.00278769;0.00684448;-0.0204163;0.0885205;0.0122259;-0.411565;0.906989
-0.13416;-0.050795;0.0297012;0.0120161;0.0124196;-0.121696;0.129933;0.0201677;-0.389571;0.911562
-0.133773;-0.0447639;0.00152875;0.000722269;0.0255038;-0.0843049;0.184331;0.0253164;-0.38148;0.905458
-0.134307;-0.0379274;-0.0168091;-0.0210189;0.040423;-0.0687692;0.231108;0.0321992;-0.384433;0.893176
-0.141736;-0.0263183;-0.0349247;-0.0375634;0.056463;-0.080206;0.276511;0.0261485;-0.389225;0.878272
-0.151166;-0.0111467;-0.0566263;-0.022552;0.059965;-0.075614;0.330389;0.0284411;-0.388463;0.859727
-0.151875;0.00378458;-0.0777309;0.00675306;0.0636791;-0.0936678;0.375519;0.0317492;-0.383049;0.843357
-0.143876;0.0170779;-0.0931576;0.0399521;0.0523171;-0.0329803;0.416436;0.0387125;-0.36738;0.830731
-0.126586;0.0262546;-0.0966843;0.0892823;0.0375881;-0.0191473;0.432548;0.0478829;-0.333412;0.836329
-0.102309;0.0343789;-0.104098;0.095334;0.0106036;-0.0229911;0.456077;0.0534508;-0.295571;0.83772
-0.079537;0.0373743;-0.102191;0.0803437;0.00816716;0.0138614;0.464127;0.0590932;-0.260968;0.844387
-0.0635032;0.0375919;-0.100203;0.0458071;0.00678573;0.00284218;0.45664;0.0567939;-0.226838;0.85837
-0.0561869;0.0406472;-0.0956819;0.0112065;0.00801069;0.0276676;0.454854;0.038053;-0.18349;0.870627
-0.0547228;0.0458898;-0.0901114;0.00146457;0.0321229;0.0150866;0.477633;0.0130163;-0.142376;0.866849
-0.0580847;0.0555671;-0.0855392;-0.0140674;0.0396431;0.0340631;0.483331;0.00573008;-0.121334;0.86697
-0.0622578;0.0689052;-0.071793;-0.00807498;0.0535749;0.078417;0.470309;0.00110299;-0.0960118;0.877263
-0.070314;0.0755674;-0.0595536;-0.000298734;0.0177785;0.0315654;0.466186;0.0069812;-0.0934852;0.879706
-0.0616764;0.0718568;-0.0509118;0.013097;-0.0636673;0.0358489;0.467757;0.00422044;-0.0756938;0.8806
-0.0490262;0.0596312;-0.0588708;0.0708302;0.00433741;-0.0331591;0.469547;0.00132433;-0.0639984;0.880584
-0.0432501;0.06486;-0.058429;-0.0136274;0.0271929;0.0325179;0.482083;-0.0110279;-0.0730815;0.873003
-0.0413032;0.072919;-0.0523872;0.0203242;0.0269421;0.0108826;0.492633;-0.0221871;-0.0482317;0.868616
-0.0307629;0.074345;-0.0484471;0.0561462;-0.0117565;0.0179652;0.504994;-0.0346099;-0.0107737;0.862361
-0.0123475;0.0789023;-0.0444406;0.0925664;0.0301058;0.0296838;0.513739;-0.0505674;0.0423085;0.855409
0.0129756;0.0838297;-0.0354023;0.107944;0.0169332;0.0274223;0.500728;-0.0705217;0.0926285;0.85774
0.0391027;0.0839703;-0.0295215;0.0999953;-0.0496999;0.0100995;0.489648;-0.0823129;0.14682;0.855519
0.0577831;0.0709329;-0.0278282;0.032815;-0.0537233;0.00807221;0.467915;-0.087634;0.182903;0.860187
0.0624435;0.0660099;-0.0190779;0.0347075;0.00547762;0.0417485;0.444213;-0.0937552;0.219529;0.863534
0.0824825;0.0697118;-0.0128016;0.141756;-0.00117306;-0.00795258;0.439335;-0.105423;0.264202;0.852096
0.119522;0.052785;-0.0123654;0.119722;-0.117111;0.0301054;0.437266;-0.112241;0.291365;0.84339
0.14167;0.0220507;0.00220356;0.0665;-0.123111;0.0411875;0.411731;-0.129764;0.312084;0.846311
